fault,n_samples,n_hard_gases,mean_disablement_hard,std_disablement_hard,mean_disablement_nonhard,std_disablement_nonhard,ratio_hard_over_nonhard
D1,67,2,32.52239875793457,0.899670217891076,19.95000228881836,0.7306595761294764,1.6324580029198774
D2,63,2,18.323296356201173,0.4846227622290954,6.839136409759521,0.5830083593965589,2.6978920065197918
PD,69,1,35.77788543701172,1.5881249976238005,15.669878005981445,0.9569653356673294,2.292285271660386
T1,38,2,9.08058795928955,0.3172537443944498,10.901374626159669,0.4784514468704901,0.8340754183034316
T2,32,2,21.828355407714845,1.454430464307898,16.470744323730468,1.370616874829156,1.33397841958794
T3,61,2,13.97206382751465,0.9573112374740391,39.13190536499023,1.3963150943465523,0.35776490766397817
