class,n,precision,recall,f1
PD,69,0.9857142857142858,1.0,0.9928057553956835
D1,67,0.9032258064516129,0.835820895522388,0.8682170542635659
D2,63,0.8484848484848485,0.8888888888888888,0.8682170542635659
T1,38,0.9459459459459459,0.9210526315789473,0.9333333333333333
T2,32,0.9696969696969697,1.0,0.9846153846153847
T3,61,0.9838709677419355,1.0,0.991869918699187
