class,n,precision,recall,f1
PD,69,0.9857142857142858,1.0,0.9928057553956835
D1,67,0.9344262295081968,0.8507462686567164,0.890625
D2,63,0.8507462686567164,0.9047619047619048,0.8769230769230769
T1,38,0.972972972972973,0.9473684210526315,0.96
T2,32,0.9696969696969697,1.0,0.9846153846153847
T3,61,0.9838709677419355,1.0,0.991869918699187
