true_class,n_covered_impl,acc_impl,n_covered_canon,acc_canon
PD,57,0.05263157894736842,57,0.05263157894736842
D1,54,0.3148148148148148,54,0.3333333333333333
D2,57,0.7192982456140351,57,0.6666666666666666
T1,36,0.05555555555555555,36,0.05555555555555555
T2,27,0.2962962962962963,27,0.7407407407407407
T3,45,0.044444444444444446,45,0.044444444444444446
OVERALL,276,0.2644927536231884,276,0.3007246376811594
